s,type,g
#WN30-301585312,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/James_Geikie,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Serhiy_Yakovych_Shevchenko__9,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Ihor_Oshchypko,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30Word-adrian,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://www.wikidata.org/entity/Q7096731,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
http://dbpedia.org/resource/Juninho_Pernambucano__2,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Dzmitry_Balashow__15,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Toafofoa_Sipley,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Hans_Adam_Weissenkircher,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Vecepia_Towery,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Masrezwan_Masturi__8,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Herrera_de_Soria,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30-113431221,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Radici_Group,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/2001_Race_of_Champions,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Oxyothespis_sudanensis,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Libertarian_Party_of_Connecticut__2011__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Xylopolia_bella,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30WordSense-uncoordinated_JJ_2,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Aliyar_Ismailov,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Ali_Güneş__4,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Say_Wonderful_Things_(song),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Fabrice_de_Nola,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#FrancoiseDAubignemarquiseDeMaintenon,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/SUMO#
http://dbpedia.org/resource/Jerry_de_Jong__2,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30-100547101,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Glan_Conwy_F.C.__Liam_Griffiths__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/2013–14_FC_Kuban_Krasnodar_season__Ivelin_Popov__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/José_Barroso_(footballer)__3,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/John_Cowsill,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Francesco_Angelo_Rapaccioli,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Hydlide,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Ulrika_Eleonora_of_Denmark,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Iraj_Hatam__2,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Brij_Kothari,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Edward_F._Moore,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Tariq_Ahmed,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Solanum_leiophyllum,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Charlie_Drinkwater__14,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Villarreal_CF__Víctor_Ruiz__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Dave_Courtney,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
