s,type,g
http://dbpedia.org/resource/The_Revenge_of_the_Whore,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Bernina_Lagalb_(Rhaetian_Railway_station),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Rigaku,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Darragh_Maguire__2,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#Wladyslaw_IITheExile,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/SUMO#
http://dbpedia.org/resource/Mohammed_Al-Mukhaini__6,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#Jonas_Kamper,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/SUMO#
http://www.wikidata.org/entity/Q2944360,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
http://dbpedia.org/resource/Abbas_Ghasemi__2,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Schriesheim,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Los_Angeles_Legends_(W-League)__Alicia_Lugo__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Variola_(fish),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Deadland,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Left_gastroepiploic_vein,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://www.wikidata.org/entity/Q338724,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
http://dbpedia.org/resource/Mahanayak_Uttam_Kumar_metro_station,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
"http://dbpedia.org/resource/Wrightstown,_Wisconsin",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Mário_Barroso__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
